Jimy Szymanski,Tomas Tenconi,0.99,Dominik Meffert,0.98,Daniele Musa,0.98,[]
Johan Van Herck,Alex Antonitsch,0.97,Rui Machado,0.81,Colin Dowdeswell,0.79,[]
Wojtek Fibak,Jan Kodes,0.49,Arnaud Boetsch,0.23,Wayne Ferreira,0.22,[]
Petr Kralert,Rogier Wassen,1.0,Philippe Pech,1.0,Julien Jeanpierre,1.0,[]
Per Hjertquist,Alberto Tous,0.82,John Van Lottum,0.71,Jan Hajek,0.63,[]
Jean Philippe Fleurian,Jan Vacek,0.94,Harel Levy,0.9,Galo Blanco,0.9,[]
Karol Beck,Scott Draper,0.98,Olivier Delaitre,0.97,Chip Hooper,0.95,[]
Ernests Gulbis,Mike Bauer,0.84,Robert Maud,0.82,Jan Gunnarsson,0.18,"[121.0, 55.0, 79.0]"
Bohdan Ulihrach,John Lloyd,0.17,Jonathan Stark,0.13,Sammy Giammalva Jr,0.12,[]
Jan Eric Lundquist,Humphrey Hose,1.0,Freddie Sauer,1.0,Dennis Novikov,1.0,[]
Leander Paes,Jose Francisco Altur,1.0,Gilles Moretton,1.0,Federico Luzzi,0.95,[]
Jeremy Bates,Thomas Hogstedt,0.89,Ricardo Ycaza,0.77,Ricardo Mello,0.71,[]
Deon Joubert,Eric Deblicker,0.83,Rajeev Ram,0.8,Gabriel Urpi,0.77,[]
Lucas Pouille,Aki Rahunen,0.91,Jean Philippe Fleurian,0.75,Gianluca Pozzi,0.68,"[138.0, 74.0]"
Hiroki Moriya,Zack Fleishman,0.98,Bruce Foxworth,0.98,Lamine Ouahab,0.97,[]
Janko Tipsarevic,Scott Davis,0.63,Dominic Thiem,0.51,Karol Kucera,0.45,[]
Oscar Martinez,Rajeev Ram,0.91,Fred Mcnair,0.8,Ivan Navarro,0.67,[]
Dale Collings,Syd Ball,0.97,Joao Souza,0.97,Todd Nelson,0.96,[]
Chris Kachel,Vasilis Mazarakis,0.96,Tommy Ho,0.96,Johan Carlsson,0.92,[]
Markus Hipfl,Jan Kroslak,0.87,Aki Rahunen,0.8,Trey Waltke,0.79,[]
Martin Damm,Eduardo Bengoechea,0.97,Chuck Adams,0.84,Jorge Lozano,0.82,[]
Arnau Brugues Davi,Gabriel Silberstein,1.0,Elias Ymer,1.0,Dave Siegler,1.0,[]
Dusan Lajovic,Jean Philippe Fleurian,0.95,Harel Levy,0.88,Ryan Harrison,0.84,"[96.0, 158.0, 115.0]"
